interval_bulan,umur_awal,umur_akhir,gender,kbm_kg
3,0,3,laki-laki,2.1
3,0,3,perempuan,1.8
3,1,4,laki-laki,1.7
3,1,4,perempuan,1.5
3,2,5,laki-laki,1.3
3,2,5,perempuan,1.2
3,3,6,laki-laki,0.94
3,3,6,perempuan,0.91
3,4,7,laki-laki,0.71
3,4,7,perempuan,0.69
3,5,8,laki-laki,0.55
3,5,8,perempuan,0.53
3,6,9,laki-laki,0.44
3,6,9,perempuan,0.40
3,7,10,laki-laki,0.35
3,7,10,perempuan,0.30
3,8,11,laki-laki,0.27
3,8,11,perempuan,0.23
3,9,12,laki-laki,0.21
3,9,12,perempuan,0.18
3,10,13,laki-laki,0.16
3,10,13,perempuan,0.15
3,11,14,laki-laki,0.119
3,11,14,perempuan,0.122
3,12,15,laki-laki,0.09
3,12,15,perempuan,0.10
3,13,16,laki-laki,0.07
3,13,16,perempuan,0.09
3,14,17,laki-laki,0.05
3,14,17,perempuan,0.08
3,15,18,laki-laki,0.04
3,15,18,perempuan,0.07
3,16,19,laki-laki,0.03
3,16,19,perempuan,0.06
3,17,20,laki-laki,0.03
3,17,20,perempuan,0.05
3,18,21,laki-laki,0.03
3,18,21,perempuan,0.04
3,19,22,laki-laki,0.03
3,19,22,perempuan,0.03
3,20,23,laki-laki,0.02
3,20,23,perempuan,0.02
3,21,24,laki-laki,0.01
3,21,24,perempuan,0.008
